canonical_smiles,molecule_chembl_id,Ki_nM,assay_chembl_id,pIC50
O=C1CCc2ccc(OCCCCN3CCN(c4ccc(O)c5[nH]c(=O)ccc45)CC3)cc2N1,CHEMBL4083239,0.9450000000000001,CHEMBL4015806,9.024568191490737
CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2C[C@@H](OCCCCNC(=O)c3cc4ccccc4o3)CN2CC)c1O,CHEMBL4846561,0.947,CHEMBL4828545,9.023650020996726
O=C(CCCN1C2CCC1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1,CHEMBL210578,0.9550000000000001,CHEMBL671416,9.019996628416253
O/N=C/c1cnn2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc12,CHEMBL3287403,0.975,CHEMBL3295080,9.010995384301463
O=C(N[C@H]1CC[C@@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)OCc1ccccc1,CHEMBL5977489,0.98,CHEMBL5730969,9.008773924307505
CN1CCc2ccccc2Cc2c(ccc(O)c2Cl)CC1,CHEMBL380464,0.99,CHEMBL861435,9.00436480540245
O=C(CCCN1CCC(O)(c2cccc(Cl)c2)CC1)c1ccc(F)cc1,CHEMBL4455788,1.0,CHEMBL4416273,9.0
O=S(=O)(NCCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc(Cl)c1,CHEMBL4070254,1.0,CHEMBL4041093,9.0
O=C(NCCCCN1CCN(c2cnc3ccccc3c2)CC1)c1ccccc1,CHEMBL3358513,1.0,CHEMBL3381713,9.0
O=S(=O)(c1cccc2ncccc12)N1CCC[C@H]1CCN1CCN(c2nsc3ccccc23)CC1,CHEMBL4246202,1.0,CHEMBL4229838,9.0
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(C(F)(F)F)c4Cl)CC3)nc2N1,CHEMBL1774074,1.0,CHEMBL1776016,9.0
Cc1cccc(N2CCN(CCCCOc3ccc4c(n3)NC(=O)CC4)CC2)c1Cl,CHEMBL1774069,1.0,CHEMBL1776016,9.0
O=C1CCc2ccc(OCCCCN3CCN(c4cccc5c4CCCO5)CC3)nc2N1,CHEMBL1774078,1.0,CHEMBL1776016,9.0
O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc2cc(Cl)ccc2c1,CHEMBL3290008,1.0,CHEMBL3297244,9.0
CN1CCN(C2=Cc3ccccc3Cc3ccc(Cl)cc32)CC1,CHEMBL7617,1.0,CHEMBL675960,9.0
O=C(N[C@H]1CC[C@H](CCN2CCN(c3ccccc3Cl)CC2)CC1)c1cccs1,CHEMBL78800,1.0,CHEMBL671651,9.0
CN1CCc2ccc(OCCCN3CCC(c4noc5cc(F)ccc45)CC3)cc2C1=O,CHEMBL4764679,1.0,CHEMBL5734676,9.0
O=C1COc2c(cccc2N2CCN(Cc3cccc(-c4ccccc4)c3)CC2)N1,CHEMBL305920,1.0,CHEMBL672308,9.0
C[C@@H]1Oc2c(cccc2N2CCN(CCCc3c[nH]c4c(F)cccc34)CC2)NC1=O,CHEMBL198357,1.0,CHEMBL872394,9.0
