canonical_smiles,molecule_chembl_id,IC50_nM,assay_chembl_id,pIC50
C=CC(=O)Nc1cccc(-n2c(=O)cc(C(F)(F)F)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,CHEMBL3753228,39.0,CHEMBL3755797,7.4089353929735005
CC(C)NC(CS(C)(=O)=O)c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CHEMBL3344213,39.2,CHEMBL3385740,7.406713932979542
CCOc1cc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCCCC1,CHEMBL3357648,39.2,CHEMBL3385194,7.406713932979542
C=CC(=O)N1CCC[C@@H]1CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(Nc3ccccc3)c2)[nH]1,CHEMBL4061473,39.55,CHEMBL4013157,7.402853512166304
C=CC(=O)N1CCC(n2nc(C(=O)Nc3nc4cc(F)ccc4o3)c3c(N)ncnc32)C1,CHEMBL6041084,39.6,CHEMBL5731481,7.402304814074488
C=CCC(=O)N(C)CCN(C)c1cc(OC)c(Nc2nccc(Nc3cn(C)c4ccccc34)n2)cc1NC(=O)C=C,CHEMBL5093625,39.62,CHEMBL5046854,7.402085528797472
COc1c(Br)cccc1Nc1ncnc2ccncc12,CHEMBL441333,39.81,CHEMBL952131,7.400007822415902
S=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,CHEMBL3815163,39.85,CHEMBL3815405,7.399571674267869
CN(C)CCN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,CHEMBL126137,39.905,CHEMBL677387,7.398972684855515
COc1ccc(-c2c(NC(=O)/C=C/CN(C)C)ccc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)cc1OC,CHEMBL5568705,39.95,CHEMBL5546057,7.39848321634999
C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC)c(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCN(C)C,CHEMBL5286091,40.0,CHEMBL5238849,7.3979400086720375
CC(C)(C)N1C=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)c2cocn2)NN1,CHEMBL5754433,40.0,CHEMBL5736995,7.3979400086720375
C=CC(=O)N1CC(Oc2cc3c(Nc4ccc(Cl)cc4Cl)ncnc3cc2OC)C1,CHEMBL5786389,40.0,CHEMBL5738182,7.3979400086720375
NC(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1,CHEMBL461426,40.0,CHEMBL1009318,7.3979400086720375
